fn,Lx,Lr,Bx,Br,dtd,MS,dx,dt,R,h,phia,phib,D,surftens,thickness,Nt,prin,prin0
1,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.01,25.0,1.5e7,1000.0,0.0
2,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.008,25.0,1.5e7,1000.0,0.0
3,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.006,25.0,1.5e7,1000.0,0.0
4,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.004,25.0,1.5e7,1000.0,0.0
5,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.002,25.0,1.5e7,1000.0,0.0
6,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.001,25.0,1.5e7,1000.0,0.0
7,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.0008,25.0,1.5e7,1000.0,0.0
8,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.0006,25.0,1.5e7,1000.0,0.0
9,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.0004,25.0,1.5e7,1000.0,0.0
10,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.0002,25.0,1.5e7,1000.0,0.0
11,64.0,4.0,32.0,32.0,0.1,0.03125,4.0,0.0001,12.0,0.4,0.0,1.0,4.0,0.0001,25.0,1.5e7,1000.0,0.0
